Entity,Year,Records Lost,Organization,Method of Leak,Data Sensitivity
AOL,2004,92.0Mn,Web,Inside Job,Online Contact Information
Automatic Data Processing,2005,0.125Mn,Financial,Poor Security,Personal Details
Ameritrade Inc.,2005,0.2Mn,Financial,Lost / Stolen Device,Personal Details
Citigroup,2005,3.9Mn,Financial,Lost / Stolen Device,Credit Card Info
Cardsystems Solutions Inc. ,2005,40.0Mn,Financial,Hacked,Credit Card Info
Hewlett Packard,2006,0.2Mn,Tech,Lost / Stolen Device,Personal Details
Countrywide Financial Corp,2006,2.6Mn,Financial,Inside Job,Credit Card Info
KDDI,2006,4.0Mn,Telecoms,Hacked,Online Contact Information
"T-Mobile, Deutsche Telecom",2006,17.0Mn,Telecoms,Lost / Stolen Device,Online Contact Information
AOL,2006,20.0Mn,Web,Accidentally Published,Online Contact Information
US Dept of Vet Affairs,2006,26.5Mn,Government,Lost / Stolen Device,Personal Details
Texas Lottery,2007,0.089Mn,Government,Inside Job,Personal Details
City and Hackney Teaching Primary Care Trust,2007,0.16Mn,Government,Lost / Stolen Device,Personal Details
Gap Inc,2007,0.8Mn,Retail,Lost / Stolen Device,Personal Details
Compass Bank,2007,1.0Mn,Financial,Inside Job,Credit Card Info
Monster.com,2007,1.6Mn,Web,Hacked,Personal Details
Driving Standards Agency,2007,3.0Mn,Government,Lost / Stolen Device,Personal Details
Driving Standards Agency,2007,3.0Mn,Government,Lost / Stolen Device,Personal Details
Hannaford Brothers Supermarket Chain,2007,4.2Mn,Retail,Hacked,Credit Card Info
TD Ameritrade,2007,6.3Mn,Financial,Hacked,Online Contact Information
Fidelity National Information Services,2007,8.5Mn,Financial,Inside Job,Credit Card Info
Dai Nippon Printing,2007,8.637Mn,Retail,Inside Job,Online Contact Information
UK Revenue & Customs,2007,25.0Mn,Government,Lost / Stolen Device,Online Contact Information
TK / TJ Maxx,2007,94.0Mn,Retail,Hacked,Credit Card Info
Service Personnel and Veterans Agency (UK),2008,0.05Mn,Government,Lost / Stolen Device,Personal Details
Stanford University,2008,0.072Mn,Academic,Lost / Stolen Device,Personal Details
UK Home Office,2008,0.084Mn,Government,Lost / Stolen Device,Personal Details
AT&T,2008,0.113Mn,Telecoms,Lost / Stolen Device,Online Contact Information
Starbucks,2008,0.097Mn,Retail,Lost / Stolen Device,Personal Details
RBS Worldpay,2008,1.5Mn,Financial,Hacked,Personal Details
Jefferson County,2008,1.6Mn,Government,Accidentally Published,Personal Details
UK Ministry of Defence,2008,1.7Mn,Government,Lost / Stolen Device,Full Bank Account Details
University of Miami,2008,2.1Mn,Academic,Lost / Stolen Device,Credit Card Info
University of Utah Hospitals & Clinics,2008,2.2Mn,Academic,Lost / Stolen Device,Email and Health Records
Norwegian Tax Authorities,2008,3.95Mn,Government,Accidentally Published,Personal Details
Data Processors International,2008,5.0Mn,Financial,Hacked,Online Contact Information
Chile Ministry Of Education,2008,6.0Mn,Government,Hacked,Online Contact Information
GS Caltex,2008,11.1Mn,Energy,Inside Job,Personal Details
BNY Mellon Shareowner Services,2008,12.5Mn,Financial,Lost / Stolen Device,Online Contact Information
Auction.co.kr,2008,18.0Mn,Web,Hacked,Credit Card Info
US Dept of Defense,2009,0.072Mn,Military,Lost / Stolen Device,Personal Details
US National Guard,2009,0.131Mn,Military,Lost / Stolen Device,Personal Details
University of California Berkeley,2009,0.16Mn,Academic,Hacked,Credit Card Info
"Affinity Health Plan, Inc.",2009,0.345Mn,Healthcare,Lost / Stolen Device,Email and Health Records
Virginia Prescription Monitoring Program,2009,0.531Mn,Healthcare,Hacked,Personal Details
Network Solutions,2009,0.573Mn,Tech,Hacked,Credit Card Info
Blue Cross Blue Shield of Tennessee,2009,1.023Mn,Healthcare,Lost / Stolen Device,Personal Details
"AvMed, Inc.",2009,1.22Mn,Healthcare,Lost / Stolen Device,Personal Details
Health Net ,2009,1.5Mn,Healthcare,Lost / Stolen Device,Email and Health Records
CheckFree Corporation,2009,5.0Mn,Financial,Hacked,Online Contact Information
Virginia Dept. Of Health,2009,8.257Mn,Government,Hacked,Email and Health Records
RockYou!,2009,32.0Mn,Web,Hacked,Online Contact Information
US Military,2009,76.0Mn,Military,Lost / Stolen Device,Personal Details
Heartland,2009,130.0Mn,Financial,Hacked,Credit Card Info
Yale University,2010,0.043Mn,Academic,Accidentally Published,Personal Details
AT&T,2010,0.114Mn,Telecoms,Hacked,Online Contact Information
Colorado government,2010,0.105Mn,Healthcare,Lost / Stolen Device,Personal Details
Lincoln Medical & Mental Health Center,2010,0.13Mn,Healthcare,Lost / Stolen Device,Email and Health Records
"Ankle & foot Center of Tampa Bay, Inc.",2010,0.156Mn,Healthcare,Hacked,Email and Health Records
"Emergency Healthcare Physicians, Ltd.",2010,0.18Mn,Healthcare,Lost / Stolen Device,Email and Health Records
"Seacoast Radiology, PA",2010,0.231Mn,Healthcare,Hacked,Personal Details
Embassy Cables,2010,0.251Mn,Government,Inside Job,Full Bank Account Details
